fpn,folder,rpath,rfolder,filename,name,ext,size,mtime,ctime,is_file,dst_fpn,action
C:\backup\GIT\COPYfireman\.git\hooks\pre-commit.sample,C:\backup\GIT\COPYfireman\.git\hooks,.git\hooks\pre-commit.sample,.git\hooks,pre-commit.sample,pre-commit,sample,1643,2020-12-27 18:46:04.417404,2020-12-29 19:06:17.785434,True,C:\backup\GIT\copied\.git\hooks\copy_pre-commit.sample,
C:\backup\GIT\COPYfireman\.git\hooks\pre-merge-commit.sample,C:\backup\GIT\COPYfireman\.git\hooks,.git\hooks\pre-merge-commit.sample,.git\hooks,pre-merge-commit.sample,pre-merge-commit,sample,416,2020-12-27 18:46:04.417404,2020-12-29 19:06:17.785434,True,C:\backup\GIT\copied\.git\hooks\copy_pre-merge-commit.sample,
C:\backup\GIT\COPYfireman\.git\hooks\pre-push.sample,C:\backup\GIT\COPYfireman\.git\hooks,.git\hooks\pre-push.sample,.git\hooks,pre-push.sample,pre-push,sample,1348,2020-12-27 18:46:04.418356,2020-12-29 19:06:17.785434,True,C:\backup\GIT\copied\.git\hooks\copy_pre-push.sample,
C:\backup\GIT\COPYfireman\.git\hooks\pre-rebase.sample,C:\backup\GIT\COPYfireman\.git\hooks,.git\hooks\pre-rebase.sample,.git\hooks,pre-rebase.sample,pre-rebase,sample,4898,2020-12-27 18:46:04.419583,2020-12-29 19:06:17.785434,True,C:\backup\GIT\copied\.git\hooks\copy_pre-rebase.sample,
C:\backup\GIT\COPYfireman\.git\hooks\pre-receive.sample,C:\backup\GIT\COPYfireman\.git\hooks,.git\hooks\pre-receive.sample,.git\hooks,pre-receive.sample,pre-receive,sample,544,2020-12-27 18:46:04.419583,2020-12-29 19:06:17.785434,True,C:\backup\GIT\copied\.git\hooks\copy_pre-receive.sample,
C:\backup\GIT\COPYfireman\.git\hooks\prepare-commit-msg.sample,C:\backup\GIT\COPYfireman\.git\hooks,.git\hooks\prepare-commit-msg.sample,.git\hooks,prepare-commit-msg.sample,prepare-commit-msg,sample,1492,2020-12-27 18:46:04.420570,2020-12-29 19:06:17.801090,True,C:\backup\GIT\copied\.git\hooks\copy_prepare-commit-msg.sample,
C:\backup\GIT\COPYfireman\.git\hooks\update.sample,C:\backup\GIT\COPYfireman\.git\hooks,.git\hooks\update.sample,.git\hooks,update.sample,update,sample,3635,2020-12-27 18:46:04.421348,2020-12-29 19:06:17.801090,True,C:\backup\GIT\copied\.git\hooks\copy_update.sample,
C:\backup\GIT\COPYfireman\.git\index,C:\backup\GIT\COPYfireman\.git,.git\index,.git,index,index,,521,2020-12-29 15:07:44.950442,2020-12-29 19:06:17.754184,True,C:\backup\GIT\copied\.git\copy_index,
C:\backup\GIT\COPYfireman\.git\info\exclude,C:\backup\GIT\COPYfireman\.git\info,.git\info\exclude,.git\info,exclude,exclude,,240,2020-12-27 18:46:04.422373,2020-12-29 19:06:17.801090,True,C:\backup\GIT\copied\.git\info\copy_exclude,
C:\backup\GIT\COPYfireman\.git\logs\HEAD,C:\backup\GIT\COPYfireman\.git\logs,.git\logs\HEAD,.git\logs,HEAD,HEAD,,867,2020-12-29 15:07:44.957484,2020-12-29 19:06:17.801090,True,C:\backup\GIT\copied\.git\logs\copy_HEAD,
C:\backup\GIT\COPYfireman\.git\logs\refs\heads\main,C:\backup\GIT\COPYfireman\.git\logs\refs\heads,.git\logs\refs\heads\main,.git\logs\refs\heads,main,main,,867,2020-12-29 15:07:44.958443,2020-12-29 19:06:17.816721,True,C:\backup\GIT\copied\.git\logs\refs\heads\copy_main,
C:\backup\GIT\COPYfireman\.git\logs\refs\remotes\origin\HEAD,C:\backup\GIT\COPYfireman\.git\logs\refs\remotes\origin,.git\logs\refs\remotes\origin\HEAD,.git\logs\refs\remotes\origin,HEAD,HEAD,,177,2020-12-27 18:46:06.321923,2020-12-29 19:06:17.816721,True,C:\backup\GIT\copied\.git\logs\refs\remotes\origin\copy_HEAD,
C:\backup\GIT\COPYfireman\.git\logs\refs\remotes\origin\main,C:\backup\GIT\COPYfireman\.git\logs\refs\remotes\origin,.git\logs\refs\remotes\origin\main,.git\logs\refs\remotes\origin,main,main,,596,2020-12-29 15:07:55.272286,2020-12-29 19:06:17.816721,True,C:\backup\GIT\copied\.git\logs\refs\remotes\origin\copy_main,
C:\backup\GIT\COPYfireman\.git\objects\01\106f465e28eaf80209ffd71ae2d4969a049e35,C:\backup\GIT\COPYfireman\.git\objects\01,.git\objects\01\106f465e28eaf80209ffd71ae2d4969a049e35,.git\objects\01,106f465e28eaf80209ffd71ae2d4969a049e35,106f465e28eaf80209ffd71ae2d4969a049e35,,190,2020-12-29 15:05:36.479817,2020-12-29 19:06:17.832307,True,C:\backup\GIT\copied\.git\objects\01\copy_106f465e28eaf80209ffd71ae2d4969a049e35,
C:\backup\GIT\COPYfireman\.git\objects\10\ee5f0bf7438d6759eb207d05cd7076a445ced4,C:\backup\GIT\COPYfireman\.git\objects\10,.git\objects\10\ee5f0bf7438d6759eb207d05cd7076a445ced4,.git\objects\10,ee5f0bf7438d6759eb207d05cd7076a445ced4,ee5f0bf7438d6759eb207d05cd7076a445ced4,,221,2020-12-29 15:05:36.472460,2020-12-29 19:06:17.832307,True,C:\backup\GIT\copied\.git\objects\10\copy_ee5f0bf7438d6759eb207d05cd7076a445ced4,
